experiment_id,scenario_id,ccce_gt,ccce_hat,ci_low,ci_high,ci_excludes_zero
E11_NEGATIVE_CONTROLS,0,0.0,-0.00421329246156792,-0.026370925396069236,0.017944340472933397,False
E11_NEGATIVE_CONTROLS,1,0.0,-0.008374352258945797,-0.04329741447249776,0.02654870995460617,False
E11_NEGATIVE_CONTROLS,2,0.0,0.0383669980421887,-0.001535689192466827,0.07826968527684423,False
E11_NEGATIVE_CONTROLS,3,0.0,0.003674089579137938,-0.028261168368173238,0.03560934752644911,False
E11_NEGATIVE_CONTROLS,4,0.0,-0.007686556060770867,-0.05085896117248076,0.03548584905093903,False
E11_NEGATIVE_CONTROLS,5,0.0,0.011502047790961928,-0.026151875906227105,0.049155971488150964,False
E11_NEGATIVE_CONTROLS,6,0.0,0.026698497190434604,-0.02011571671921299,0.0735127111000822,False
E11_NEGATIVE_CONTROLS,7,0.0,-0.0012810189507937086,-0.06838667851718593,0.06582464061559852,False
E11_NEGATIVE_CONTROLS,8,0.0,-0.01933037836552785,-0.06497990126144286,0.026319144530387164,False
E11_NEGATIVE_CONTROLS,9,0.0,0.0040928642047622825,-0.01445998229285934,0.022645710702383904,False
E11_NEGATIVE_CONTROLS,10,0.0,0.01723323189381825,-0.0021344855052197326,0.03660094929285623,False
E11_NEGATIVE_CONTROLS,11,0.0,-0.024126112768313845,-0.05023643478015356,0.0019842092435258737,False
E11_NEGATIVE_CONTROLS,12,0.0,0.03618815918122252,0.009011817413616386,0.06336450094882866,True
E11_NEGATIVE_CONTROLS,13,0.0,-0.015486279805044105,-0.040629706391894185,0.009657146781805978,False
E11_NEGATIVE_CONTROLS,14,0.0,0.01540553100734141,-0.01645902093657136,0.047270082951254185,False
E11_NEGATIVE_CONTROLS,15,0.0,-0.026258645027690063,-0.06132475805134082,0.008807467995960695,False
E11_NEGATIVE_CONTROLS,16,0.0,-0.003978916674806998,-0.01618137029415498,0.00822353694454098,False
E11_NEGATIVE_CONTROLS,17,0.0,0.0008399890679751465,-0.024185437793553796,0.025865415929504088,False
E11_NEGATIVE_CONTROLS,18,0.0,-0.0017288938414248022,-0.043054504840479665,0.039596717157630065,False
E11_NEGATIVE_CONTROLS,19,0.0,0.02614526239702046,-0.016083788730479234,0.06837431352452016,False
E11_NEGATIVE_CONTROLS,20,0.0,0.009392998410946844,-0.015518559121174827,0.03430455594306851,False
E11_NEGATIVE_CONTROLS,21,0.0,-0.011593933458869454,-0.04853151776012332,0.025343650842384418,False
E11_NEGATIVE_CONTROLS,22,0.0,0.014574048704580803,-0.04601374707163449,0.0751618444807961,False
E11_NEGATIVE_CONTROLS,23,0.0,-0.004342927534537038,-0.03455969117645746,0.025873836107383384,False
E11_NEGATIVE_CONTROLS,24,0.0,-0.007668133559007928,-0.03942850669151919,0.024092239573503333,False
E11_NEGATIVE_CONTROLS,25,0.0,-0.012640024471252849,-0.05541285088193702,0.030132801939431325,False
E11_NEGATIVE_CONTROLS,26,0.0,-0.007891519894203926,-0.02811807220714914,0.012335032418741287,False
E11_NEGATIVE_CONTROLS,27,0.0,-0.004320236409727427,-0.049283345447138624,0.040642872627683777,False
E11_NEGATIVE_CONTROLS,28,0.0,0.011581973418354898,-0.03187314705675663,0.05503709389346642,False
E11_NEGATIVE_CONTROLS,29,0.0,0.0033357618352747886,-0.042762822612092966,0.04943434628264254,False
E11_NEGATIVE_CONTROLS,30,0.0,-0.00700585367234861,-0.037207683065092784,0.02319597572039556,False
E11_NEGATIVE_CONTROLS,31,0.0,0.0024148050623485928,-0.044494117945085315,0.049323728069782496,False
E11_NEGATIVE_CONTROLS,32,0.0,-0.0032885075421666297,-0.021414072985878857,0.014837057901545596,False
E11_NEGATIVE_CONTROLS,33,0.0,0.014380748496224848,-0.014351610479136266,0.04311310747158596,False
E11_NEGATIVE_CONTROLS,34,0.0,0.01717476118134802,-0.025707757761214794,0.06005728012391083,False
E11_NEGATIVE_CONTROLS,35,0.0,0.03842978184560614,0.0015411724132562699,0.075318391277956,True
E11_NEGATIVE_CONTROLS,36,0.0,0.0030340259423973694,-0.020555860226818462,0.026623912111613197,False
E11_NEGATIVE_CONTROLS,37,0.0,0.008712318547028692,-0.034568394375891945,0.051993031469949325,False
E11_NEGATIVE_CONTROLS,38,0.0,0.011061739576684921,-0.03178744768727593,0.05391092684064577,False
E11_NEGATIVE_CONTROLS,39,0.0,-0.014452870211563945,-0.06193580281047364,0.033030062387345745,False
E11_NEGATIVE_CONTROLS,40,0.0,0.0009639930107843875,-0.03792799631099064,0.03985598233255942,False
E11_NEGATIVE_CONTROLS,41,0.0,-0.014356866221052068,-0.08892121291326893,0.0602074804711648,False
E11_NEGATIVE_CONTROLS,42,0.0,0.00481724928369198,-0.032476554836680056,0.04211105340406402,False
E11_NEGATIVE_CONTROLS,43,0.0,0.02900619703437078,-0.03079906859260275,0.08881146266134432,False
E11_NEGATIVE_CONTROLS,44,0.0,-0.020777319575754623,-0.055622319318220176,0.014067680166710925,False
E11_NEGATIVE_CONTROLS,45,0.0,0.010252171119611407,-0.012453385550953796,0.03295772779017661,False
E11_NEGATIVE_CONTROLS,46,0.0,-0.012454856475303526,-0.029769119226855423,0.0048594062762483715,False
E11_NEGATIVE_CONTROLS,47,0.0,-0.006109098936610677,-0.07243118574994582,0.06021298787672447,False
E11_NEGATIVE_CONTROLS,48,0.0,-0.005719563923248833,-0.02087263047513421,0.009433502628636545,False
E11_NEGATIVE_CONTROLS,49,0.0,-0.0017473377050036864,-0.06205481178131076,0.05856013637130338,False
E11_NEGATIVE_CONTROLS,50,0.0,-0.004648735776793561,-0.030596568105440314,0.02129909655185319,False
E11_NEGATIVE_CONTROLS,51,0.0,0.00318582957573463,-0.019750082316806382,0.026121741468275644,False
E11_NEGATIVE_CONTROLS,52,0.0,-0.00037446917719635464,-0.016267136764861925,0.015518198410469216,False
E11_NEGATIVE_CONTROLS,53,0.0,0.03682656301360279,-0.019127207753703267,0.09278033378090886,False
E11_NEGATIVE_CONTROLS,54,0.0,-0.012145310752776941,-0.046837193922878204,0.02254657241732432,False
E11_NEGATIVE_CONTROLS,55,0.0,-0.021931376511599536,-0.08063579852500138,0.036773045501802305,False
E11_NEGATIVE_CONTROLS,56,0.0,0.014241503646103899,-0.023287860148802856,0.05177086744101066,False
E11_NEGATIVE_CONTROLS,57,0.0,-0.008984442688230078,-0.051603718642557375,0.03363483326609722,False
E11_NEGATIVE_CONTROLS,58,0.0,0.005179571010008717,-0.014968205899748479,0.025327347919765913,False
E11_NEGATIVE_CONTROLS,59,0.0,-0.0016872733072659952,-0.012614846972082186,0.009240300357550196,False
E11_NEGATIVE_CONTROLS,60,0.0,0.012716125878628916,-0.0265760461584377,0.05200829791569553,False
E11_NEGATIVE_CONTROLS,61,0.0,0.008976749630498321,-0.02198157626079217,0.03993507552178881,False
E11_NEGATIVE_CONTROLS,62,0.0,0.0032854621692938557,-0.03672671284245157,0.043297637181039274,False
E11_NEGATIVE_CONTROLS,63,0.0,-0.0014254622199253043,-0.024660751032702787,0.021809826592852175,False
E11_NEGATIVE_CONTROLS,64,0.0,-0.003117826285628176,-0.027177018366889554,0.020941365795633205,False
E11_NEGATIVE_CONTROLS,65,0.0,-0.03675319067094457,-0.09457034548687389,0.02106396414498475,False
E11_NEGATIVE_CONTROLS,66,0.0,0.0013023547624220067,-0.028703546401369594,0.031308255926213606,False
E11_NEGATIVE_CONTROLS,67,0.0,0.034896070468618826,-0.02173933862158963,0.09153147955882729,False
E11_NEGATIVE_CONTROLS,68,0.0,-0.002197024974714725,-0.06767984242704483,0.06328579247761537,False
E11_NEGATIVE_CONTROLS,69,0.0,0.014940916155586426,-0.007674989077968335,0.03755682138914119,False
E11_NEGATIVE_CONTROLS,70,0.0,0.02144135449615568,-0.031274715781147405,0.07415742477345875,False
E11_NEGATIVE_CONTROLS,71,0.0,0.003745113132375755,-0.029696630281289407,0.03718685654604092,False
E11_NEGATIVE_CONTROLS,72,0.0,-0.04102219153987706,-0.10580141819814631,0.023757035118392195,False
E11_NEGATIVE_CONTROLS,73,0.0,0.01128896261911471,-0.01987631236920985,0.04245423760743927,False
E11_NEGATIVE_CONTROLS,74,0.0,-0.00808393769610083,-0.044443119812006125,0.028275244419804467,False
E11_NEGATIVE_CONTROLS,75,0.0,-0.010743656986985982,-0.04336499617232224,0.021877682198350276,False
E11_NEGATIVE_CONTROLS,76,0.0,0.027071238976454408,-0.032784384699588776,0.08692686265249759,False
E11_NEGATIVE_CONTROLS,77,0.0,-0.036826860640294716,-0.0986762005010163,0.025022479220426865,False
E11_NEGATIVE_CONTROLS,78,0.0,0.019200985551761272,-0.029193009877618227,0.06759498098114078,False
E11_NEGATIVE_CONTROLS,79,0.0,0.006702243053528349,-0.016668389642672934,0.03007287574972963,False
