experiment_id,stage,case_id,sequence_id,seed,checkpoint,competence_id,intervention_id,intervention_value,target_protocol,control_protocol,q_target,q_control,rc,ccce,standard_error,ci_low,ci_high,identification_status,ccce_gt
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,0,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8968360689552657,-0.8952957505059486,,1.7921318194612144,0.004933147294137369,1.7822182888178049,1.8020453501046239,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,1,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8906953249686215,-0.900318194691789,,1.7910135196604104,0.004726323374405245,1.7815156172445406,1.8005114220762803,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,2,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.898592216995656,-0.8923538878213898,,1.7909461048170454,0.004893036684687472,1.7811131794611326,1.8007790301729583,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,3,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8960681546267485,-0.8897243781827336,,1.785792532809482,0.0032393482923227987,1.779282818696793,1.7923022469221708,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,4,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8990258004299271,-0.8914986968784614,,1.7905244973083887,0.0041388685690544,1.7822071295222845,1.7988418650944928,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,5,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.9007237660292476,-0.8907333636874608,,1.7914571297167086,0.00383689341203044,1.7837466037283878,1.7991676557050293,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,6,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.9233874386154562,-0.8606420759791661,,1.7840295145946221,0.00425294773799593,1.7754828961355407,1.7925761330537036,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,7,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8684854947944328,-0.9159505771479093,,1.7844360719423418,0.004424253291454996,1.7755452020850462,1.7933269417996374,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,8,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8965389303572787,-0.8914768528806657,,1.7880157832379444,0.00312146884548056,1.7817429567425962,1.7942886097332926,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,9,theta_1,K1,beneficial_c-2.0,-2.0,L_T_beneficial,L_C_beneficial,0.8941918111183774,-0.888161693762278,,1.7823535048806554,0.00324771310297016,1.7758269810516263,1.7888800287096844,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,0,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.907602798139463,-0.8772701903889616,,1.7848729885284245,0.003664188089795885,1.7775095268789867,1.7922364501778623,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,1,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8746156251448408,-0.9206608771560485,,1.7952765023008894,0.004222717113129018,1.7867906345569435,1.8037623700448353,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,2,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8851782209209423,-0.9012750404282477,,1.7864532613491904,0.00436155635851788,1.7776883856957693,1.7952181370026115,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,3,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8979233190542436,-0.9004634945914909,,1.7983868136457344,0.0037773191502398088,1.7907960066186783,1.8059776206727904,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,4,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8863028984890462,-0.8956001238143023,,1.7819030223033485,0.004125940280200863,1.7736116348863828,1.7901944097203142,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,5,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8956402733454607,-0.8982611267705124,,1.7939014001159732,0.004339531305758195,1.7851807854631745,1.802622014768772,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,6,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8848494394231986,-0.8994227421980113,,1.78427218162121,0.003491688605036687,1.7772553706647618,1.791288992577658,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,7,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.8826871922774379,-0.896475233740595,,1.7791624260180334,0.0037185717743600326,1.7716896762627918,1.786635175773275,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,8,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.884343818273603,-0.9091284070600723,,1.793472225333675,0.00412125091395922,1.7851902615509863,1.8017541891163638,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,9,theta_1,K1,beneficial_c-1.0,-1.0,L_T_beneficial,L_C_beneficial,0.871207288470002,-0.9159668130445427,,1.7871741015145446,0.004522159472385684,1.778086481820489,1.7962617212086003,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,0,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.9088190893690188,-0.8873965939675036,0.8939358477008231,1.796215683336522,0.0035557126942852694,1.7890702111557402,1.8033611555173037,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,1,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.8814727582382256,-0.9089343054414006,0.8939358477008231,1.790407063679626,0.003295952814046089,1.7837835985217727,1.7970305288374795,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,2,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.8924592044745077,-0.8927056746390319,0.8939358477008231,1.7851648791135397,0.0045755745232787075,1.7759699178559194,1.79435984037116,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,3,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.9108575199629999,-0.8803448938044481,0.8939358477008231,1.7912024137674478,0.004450447653679842,1.782258904368473,1.8001459231664227,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,4,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.898934567049709,-0.8920364652912198,0.8939358477008231,1.7909710323409291,0.003700791421956396,1.7835340135415854,1.798408051140273,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,5,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.9007955875218863,-0.8884979577793521,0.8939358477008231,1.7892935453012384,0.0034713592970564673,1.7823175876186954,1.7962695029837814,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,6,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.8933460151928493,-0.8877871134005254,0.8939358477008231,1.7811331285933747,0.004265848237591127,1.7725605856097602,1.7897056715769892,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,7,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.9123714987732413,-0.8752878598260316,0.8939358477008231,1.7876593585992728,0.00444297312815688,1.7787308698216981,1.7965878473768475,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,8,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.8965640759775892,-0.8910915840006264,0.8939358477008231,1.7876556599782156,0.003735596672154599,1.7801486974099514,1.7951626225464798,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,9,theta_1,K1,beneficial_c0.0,0.0,L_T_beneficial,L_C_beneficial,0.8871955028073272,-0.8999372930342285,0.8939358477008231,1.7871327958415557,0.004643051490964458,1.7778022345405975,1.796463357142514,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,0,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.892362091683526,-0.8982364895951549,,1.7905985812786809,0.0038552812186346094,1.7828511036095434,1.7983460589478184,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,1,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.8847519620808169,-0.9079751370738509,,1.792727099154667,0.004175855204952868,1.7843354039409565,1.8011187943683777,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,2,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.9104031556954421,-0.8827265123866836,,1.7931296680821256,0.0044018231789651075,1.7842838732234558,1.8019754629407954,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,3,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.8934740789417589,-0.8989673250379181,,1.7924414039796768,0.003262195520875901,1.7858857766422507,1.7989970313171029,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,4,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.9009504906647666,-0.883274297104552,,1.784224787769319,0.0038446434147391727,1.776498687567467,1.7919508879711707,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,5,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.8869645080359398,-0.9042422482442573,,1.7912067562801968,0.004012391999626622,1.7831435526760917,1.7992699598843018,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,6,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.8791695490939303,-0.9046665223987292,,1.7838360714926598,0.003646063660007793,1.7765090322485113,1.7911631107368082,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,7,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.881604183019421,-0.908806241362156,,1.7904104243815773,0.004500174089559958,1.781366985968427,1.7994538627947276,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,8,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.8859644205715419,-0.899568104732247,,1.7855325253037888,0.0040138022709750925,1.7774664876533042,1.7935985629542734,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,9,theta_1,K1,beneficial_c1.0,1.0,L_T_beneficial,L_C_beneficial,0.8900155211144698,-0.8968042111794987,,1.7868197322939685,0.004284788614854505,1.7782091271972236,1.7954303373907134,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,0,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.8885824203189376,-0.8978210277935669,,1.7864034481125044,0.004170991401970532,1.7780215270768254,1.7947853691481834,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,1,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.9078258880385718,-0.8815061241312897,,1.7893320121698613,0.0041051557272747275,1.7810823928757706,1.797581631463952,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,2,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.9174631296542145,-0.8725314631117648,,1.7899945927659795,0.004256127021872291,1.7814415852967482,1.7985476002352108,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,3,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.9185849165027171,-0.8730754915325195,,1.7916604080352365,0.0033436988734824283,1.7849409935786693,1.7983798224918037,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,4,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.9198142220548862,-0.8722216835169694,,1.792035905571855,0.004498787888871721,1.7829952528332815,1.8010765583104287,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,5,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.8759289474107571,-0.9094058126414873,,1.7853347600522447,0.003982680277945928,1.7773312643882815,1.7933382557162079,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,6,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.8864047805702207,-0.9009698508437418,,1.7873746314139627,0.004104563981990783,1.7791262012765414,1.795623061551384,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,7,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.8891391238566558,-0.8961522915244671,,1.7852914153811223,0.003922413396611204,1.7774090305495085,1.7931738002127362,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,8,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.8765221554936126,-0.9098220065471462,,1.786344162040759,0.0038981215585011547,1.7785105934854755,1.7941777305960425,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,beneficial,analytical_single_step,9,theta_1,K1,beneficial_c2.0,2.0,L_T_beneficial,L_C_beneficial,0.8885381837425267,-0.9015976602083718,,1.7901358439508983,0.0036407961693286574,1.7828193901255804,1.7974522977762162,CERTIFIED,1.7878716954016463
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,0,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.4640490040024712,0.46983256481298724,,-0.005783560810516092,0.004675979849175197,-0.015180294124733883,0.0036131725037016997,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,1,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.4735928585568127,0.4778734084120061,,-0.0042805498551935035,0.0035785533023220987,-0.011471921956287056,0.00291082224590005,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,2,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.43570665244012785,0.4345736193749805,,0.0011330330651474058,0.0038270140154602326,-0.006557639532468013,0.008823705662762825,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,3,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.46982259170349616,0.4680278800150976,,0.0017947116883985758,0.0032608993392808164,-0.00475831087459125,0.008347734251388402,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,4,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.43627802763568674,0.43624040340258347,,3.7624233103226714e-05,0.003970029920467578,-0.007940449585730583,0.008015698051937034,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,5,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.4584204497401832,0.45711428145492655,,0.001306168285256689,0.004081658475774014,-0.006896231514077446,0.009508568084590824,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,6,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.43266816383168566,0.42467561226451345,,0.007992551567172164,0.0036180259982525336,0.0007218561137940765,0.015263247020550251,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,7,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.45152855040511064,0.45840058922563026,,-0.006872038820519689,0.004899564111139688,-0.016718081530993138,0.0029740038899537594,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,8,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.4549089572573035,0.45458124305630926,,0.00032771420099432015,0.003952811585140727,-0.0076157580775420616,0.008271186479530701,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,9,theta_1,K1,neutral_c-2.0,-2.0,L_T_neutral,L_C_neutral,0.4173070106851867,0.4175776984666928,,-0.000270687781506046,0.003826746975365337,-0.007960823741959442,0.00741944817894735,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,0,theta_1,K1,neutral_c-1.0,-1.0,L_T_neutral,L_C_neutral,0.4321899912391403,0.4310955124245324,,0.0010944788146079753,0.00434744651526508,-0.007642042047212533,0.009830999676428484,CERTIFIED,0.0
E01_GT_RECOVERY,discovery,neutral,analytical_single_step,1,theta_1,K1,neutral_c-1.0,-1.0,L_T_neutral,L_C_neutral,0.43394848361467075,0.4405417461521688,,-0.006593262537498031,0.004370646790832133,-0.015376406098592664,0.0021898810235966015,CERTIFIED,0.0
