experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,replay,A,1000,1.0982088784563275,1.0975127323685294,-0.0006961460877981107
E09_CL_BASELINES,replay,A,1001,1.094172928344131,1.0963909765446775,0.0022180482005464963
E09_CL_BASELINES,replay,A,1002,1.0955034362772655,1.0961251763610709,0.0006217400838053333
E09_CL_BASELINES,replay,A,1003,1.0973350014830259,1.0953040026521703,-0.002030998830855557
E09_CL_BASELINES,replay,A,1004,1.096864612429448,1.0979312690181748,0.0010666565887267332
E09_CL_BASELINES,replay,A,1005,1.097483438296305,1.0971630540891284,-0.0003203842071766161
E09_CL_BASELINES,replay,A,1006,1.096294991098822,1.097012362234109,0.000717371135287026
E09_CL_BASELINES,replay,A,1007,1.09751889437099,1.0965646370462594,-0.0009542573247305342
E09_CL_BASELINES,replay,A,1008,1.094202175931484,1.0945066169008675,0.0003044409693835348
E09_CL_BASELINES,replay,A,1009,1.0982145982922236,1.0980069769929517,-0.00020762129927187623
E09_CL_BASELINES,replay,A,1010,1.098136346754089,1.0974458647956047,-0.0006904819584843125
E09_CL_BASELINES,replay,A,1011,1.09427309013919,1.096478491052949,0.0022054009137590924
E09_CL_BASELINES,replay,A,1012,1.09387200486741,1.0937939189580281,-7.808590938185311e-05
E09_CL_BASELINES,replay,A,1013,1.0974921297974147,1.0981870681493442,0.0006949383519294638
E09_CL_BASELINES,replay,A,1014,1.0973604163287543,1.09812698632439,0.0007665699956358463
E09_CL_BASELINES,replay,A,1015,1.0973657327454511,1.0971120947719608,-0.00025363797349031714
E09_CL_BASELINES,replay,A,1016,1.0922207312215653,1.0948810502161623,0.0026603189945970662
E09_CL_BASELINES,replay,A,1017,1.0983044170085459,1.0976968823298898,-0.0006075346786560409
E09_CL_BASELINES,replay,A,1018,1.0943309978896636,1.0950376527820596,0.0007066548923959637
E09_CL_BASELINES,replay,A,1019,1.097176463505375,1.097611728774706,0.00043526526933113097
E09_CL_BASELINES,replay,A,1020,1.0916177870840857,1.093817884919615,0.0022000978355292133
E09_CL_BASELINES,replay,A,1021,1.0982188144018314,1.098232463819962,1.3649418130645685e-05
E09_CL_BASELINES,replay,A,1022,1.0976771161412058,1.0977418464342523,6.473029304654432e-05
E09_CL_BASELINES,replay,A,1023,1.0935672693962954,1.0964304817575075,0.0028632123612120086
E09_CL_BASELINES,replay,A,1024,1.0972457207604553,1.0954353565879447,-0.0018103641725106812
E09_CL_BASELINES,replay,A,1025,1.098229359121251,1.0966163936688524,-0.0016129654523986403
E09_CL_BASELINES,replay,A,1026,1.0978291180533533,1.097026552986991,-0.0008025650663623374
E09_CL_BASELINES,replay,A,1027,1.0977781574948686,1.0972641589081766,-0.0005139985866919883
E09_CL_BASELINES,replay,A,1028,1.09629942977917,1.096446569788196,0.00014714000902604774
E09_CL_BASELINES,replay,A,1029,1.095331647833313,1.0975813081803336,0.0022496603470205656
