experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,distillation,A,1000,1.0980343756353217,1.097964525027681,-6.985060764064244e-05
E09_CL_BASELINES,distillation,A,1001,1.097433397758663,1.0973882726079855,-4.512515067744971e-05
E09_CL_BASELINES,distillation,A,1002,1.0967560304940827,1.0969618912392083,0.00020586074512563002
E09_CL_BASELINES,distillation,A,1003,1.0982074677845728,1.098190285364062,-1.7182420510852836e-05
E09_CL_BASELINES,distillation,A,1004,1.0978201380515928,1.097996580150448,0.0001764420988552562
E09_CL_BASELINES,distillation,A,1005,1.0946236287263498,1.0944130207167437,-0.0002106080096060392
E09_CL_BASELINES,distillation,A,1006,1.0982687834848357,1.0982348687169672,-3.391476786851477e-05
E09_CL_BASELINES,distillation,A,1007,1.097748078664384,1.0977698510980627,2.1772433678624026e-05
E09_CL_BASELINES,distillation,A,1008,1.0972982947095282,1.0972202670031928,-7.802770633547063e-05
E09_CL_BASELINES,distillation,A,1009,1.0981078654165042,1.0982234206241528,0.00011555520764860994
E09_CL_BASELINES,distillation,A,1010,1.0965784867567812,1.096223750588965,-0.0003547361678162275
E09_CL_BASELINES,distillation,A,1011,1.0972404371520839,1.097521883680466,0.0002814465283822454
E09_CL_BASELINES,distillation,A,1012,1.0973151394878924,1.0972587405499175,-5.6398937974933006e-05
E09_CL_BASELINES,distillation,A,1013,1.0142018165795015,1.0926686476665548,0.07846683108705332
E09_CL_BASELINES,distillation,A,1014,1.0979367816768997,1.0979906213657997,5.383968890004809e-05
E09_CL_BASELINES,distillation,A,1015,1.0980353951924784,1.0979082121512973,-0.00012718304118108925
E09_CL_BASELINES,distillation,A,1016,1.0946115016009061,1.0974838082017404,0.0028723066008342624
E09_CL_BASELINES,distillation,A,1017,1.097890809831937,1.097641839985484,-0.0002489698464531731
E09_CL_BASELINES,distillation,A,1018,1.0982845406866253,1.0982166605489145,-6.788013771075185e-05
E09_CL_BASELINES,distillation,A,1019,1.0980299839854475,1.0978770397608133,-0.00015294422463418833
E09_CL_BASELINES,distillation,A,1020,1.0966155402979736,1.0964881971431593,-0.00012734315481433
E09_CL_BASELINES,distillation,A,1021,1.0982310279170573,1.0147691507433814,-0.08346187717367592
E09_CL_BASELINES,distillation,A,1022,1.097602281836201,1.0975255714370895,-7.671039911150146e-05
E09_CL_BASELINES,distillation,A,1023,1.0843855845565913,1.098216375732579,0.013830791175987622
E09_CL_BASELINES,distillation,A,1024,1.0980185010673533,1.0979935408526773,-2.49602146760175e-05
E09_CL_BASELINES,distillation,A,1025,1.0982072051115792,1.0980875060664692,-0.00011969904510999996
E09_CL_BASELINES,distillation,A,1026,1.0972979815134627,1.097757265865283,0.00045928435182029936
E09_CL_BASELINES,distillation,A,1027,1.0981817150858857,1.0981416430131121,-4.007207277356706e-05
E09_CL_BASELINES,distillation,A,1028,1.0980432509274902,1.0980251412846793,-1.8109642810903992e-05
E09_CL_BASELINES,distillation,A,1029,1.0976690306917143,1.0974888747758142,-0.00018015591590003766
