experiment_id,algorithm,seed,q_after_t1,q_final_on_t1,bwt
E08_CROSS_ALGORITHM,PPO,0,-14.647760468671416,-17.03484468360372,-2.387084214932303
E08_CROSS_ALGORITHM,PPO,1,-0.009328713628206631,-0.009339930173285079,-1.1216545078447313e-05
E08_CROSS_ALGORITHM,PPO,2,-0.013686843708415006,-0.013717199081356825,-3.035537294181906e-05
E08_CROSS_ALGORITHM,PPO,3,-0.023261298615770396,-0.0232629781383456,-1.6795225752028187e-06
E08_CROSS_ALGORITHM,PPO,4,-0.013090968611946571,-0.013095205331282715,-4.236719336143946e-06
E08_CROSS_ALGORITHM,PPO,5,-0.02926709585170591,-0.02936044355397888,-9.334770227296951e-05
E08_CROSS_ALGORITHM,PPO,6,-0.035770811744766304,-0.035768681047533835,2.1306972324691698e-06
E08_CROSS_ALGORITHM,PPO,7,-0.008598945600499572,-0.009216895637970011,-0.000617950037470439
E08_CROSS_ALGORITHM,PPO,8,-0.01819726837204656,-0.0181907294659121,6.53890613445951e-06
E08_CROSS_ALGORITHM,PPO,9,-0.014526076684976755,-0.014517775451985881,8.301232990873611e-06
E08_CROSS_ALGORITHM,SAC,0,-0.1080450913707688,-0.06524480260163022,0.04280028876913858
E08_CROSS_ALGORITHM,SAC,1,-0.009197013613462273,-0.009659021153765318,-0.00046200754030304575
E08_CROSS_ALGORITHM,SAC,2,-0.013651950657400316,-0.014112420381844723,-0.00046046972444440705
E08_CROSS_ALGORITHM,SAC,3,-0.02326425581691452,-0.02362356020708506,-0.0003593043901705395
E08_CROSS_ALGORITHM,SAC,4,-0.013081900538010388,-0.013457629670386917,-0.00037572913237652814
E08_CROSS_ALGORITHM,SAC,5,-0.029137258720218013,-0.030659829436806913,-0.0015225707165889002
E08_CROSS_ALGORITHM,SAC,6,-0.03577292940782462,-0.03804353915248329,-0.002270609744658668
E08_CROSS_ALGORITHM,SAC,7,-0.007837850227031345,-0.010689893274365233,-0.002852043047333887
E08_CROSS_ALGORITHM,SAC,8,-0.01820975907028749,-0.021447541452587524,-0.0032377823823000335
E08_CROSS_ALGORITHM,SAC,9,-0.014475546256826054,-0.017615725329239967,-0.0031401790724139133
