ground_truth_category,n_certified_estimates,rmse,bias,coverage_95,sign_accuracy
beneficial,150,0.004287233565257798,-0.0003694256476892136,0.9266666666666666,1.0
neutral,150,0.0036940433303029965,-6.39431014640403e-05,0.9733333333333334,1.0
harmful,150,0.003900003103242584,9.865091533313681e-05,0.9333333333333333,1.0
hidden_vulnerability,150,0.016124759162019095,0.0006428427246279503,0.9333333333333333,1.0
negative_control,150,0.0051012716056793184,-0.0004986623177555628,0.9333333333333333,1.0
positive_control,150,0.00851735073438446,-0.0003762752979139113,0.9266666666666666,1.0
