experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,replay,A,0,1.0976528005323385,1.097936229017669,0.0002834284853305835
E09_CL_BASELINES,replay,A,1,1.0975445505239108,1.0976016800307253,5.71295068145794e-05
E09_CL_BASELINES,replay,A,2,1.0972369976960523,1.0146739654977557,-0.08256303219829664
E09_CL_BASELINES,replay,A,3,1.0981849905909318,1.0982794721767315,9.448158579972166e-05
E09_CL_BASELINES,replay,A,4,1.0955618927980153,1.0965826552917166,0.0010207624937013104
E09_CL_BASELINES,replay,A,5,1.0979585278215542,1.098193334985329,0.00023480716377477506
E09_CL_BASELINES,replay,A,6,1.0978394023648663,1.0981029419027386,0.00026353953787228157
E09_CL_BASELINES,replay,A,7,1.0144094186130403,1.0976574260361631,0.08324800742312277
E09_CL_BASELINES,replay,A,8,1.0963463903563841,1.0970654583859045,0.0007190680295203755
E09_CL_BASELINES,replay,A,9,1.0965747272014725,1.0969518783715384,0.0003771511700658703
