experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,ewc,A,0,1.094195588645091,1.0938770336731096,-0.00031855497198129967
E09_CL_BASELINES,ewc,A,1,1.0978338504046017,1.098033471812015,0.00019962140741336398
E09_CL_BASELINES,ewc,A,2,1.0961219379723717,1.0958423475267816,-0.0002795904455901166
E09_CL_BASELINES,ewc,A,3,1.0957164664198413,1.0134300041732227,-0.08228646224661862
E09_CL_BASELINES,ewc,A,4,1.0972416810632495,1.0968393759508446,-0.0004023051124049104
E09_CL_BASELINES,ewc,A,5,1.0961077024270722,1.096083454975266,-2.424745180618082e-05
E09_CL_BASELINES,ewc,A,6,1.0975506159811559,1.0148554158618364,-0.08269520011931952
E09_CL_BASELINES,ewc,A,7,1.0954186645891422,1.0954628985626411,4.423397349895275e-05
E09_CL_BASELINES,ewc,A,8,1.098033873119681,1.0981465828088381,0.00011270968915710888
E09_CL_BASELINES,ewc,A,9,1.09419857385286,1.0940864595384343,-0.00011211431442559316
