experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,naive,A,0,1.098135819247901,1.0981480345957255,1.2215347824584555e-05
E09_CL_BASELINES,naive,A,1,1.0977183077513761,1.0976391892990764,-7.911845229968684e-05
E09_CL_BASELINES,naive,A,2,1.0981100544568638,1.0980616745049385,-4.8379951925303644e-05
E09_CL_BASELINES,naive,A,3,1.0975530787475345,1.0974820091143758,-7.106963315872683e-05
E09_CL_BASELINES,naive,A,4,1.0977918223724796,1.0974673276344848,-0.0003244947379947849
E09_CL_BASELINES,naive,A,5,1.0961751852859412,1.0961799276599689,4.742374027699725e-06
E09_CL_BASELINES,naive,A,6,1.0974565175403865,1.097169213251104,-0.0002873042892825861
E09_CL_BASELINES,naive,A,7,1.0962996487194532,1.0976718953173603,0.001372246597907134
E09_CL_BASELINES,naive,A,8,1.097697518998587,1.0972725469824063,-0.00042497201618063585
E09_CL_BASELINES,naive,A,9,1.0973331182456754,1.097264075598616,-6.904264705931418e-05
E09_CL_BASELINES,replay,A,0,1.0976528005323385,1.097936229017669,0.0002834284853305835
E09_CL_BASELINES,replay,A,1,1.0975445505239108,1.0976016800307253,5.71295068145794e-05
E09_CL_BASELINES,replay,A,2,1.0972369976960523,1.0146739654977557,-0.08256303219829664
E09_CL_BASELINES,replay,A,3,1.0981849905909318,1.0982794721767315,9.448158579972166e-05
E09_CL_BASELINES,replay,A,4,1.0955618927980153,1.0965826552917166,0.0010207624937013104
E09_CL_BASELINES,replay,A,5,1.0979585278215542,1.098193334985329,0.00023480716377477506
E09_CL_BASELINES,replay,A,6,1.0978394023648663,1.0981029419027386,0.00026353953787228157
E09_CL_BASELINES,replay,A,7,1.0144094186130403,1.0976574260361631,0.08324800742312277
E09_CL_BASELINES,replay,A,8,1.0963463903563841,1.0970654583859045,0.0007190680295203755
E09_CL_BASELINES,replay,A,9,1.0965747272014725,1.0969518783715384,0.0003771511700658703
E09_CL_BASELINES,ewc,A,0,1.094195588645091,1.0938770336731096,-0.00031855497198129967
E09_CL_BASELINES,ewc,A,1,1.0978338504046017,1.098033471812015,0.00019962140741336398
E09_CL_BASELINES,ewc,A,2,1.0961219379723717,1.0958423475267816,-0.0002795904455901166
E09_CL_BASELINES,ewc,A,3,1.0957164664198413,1.0134300041732227,-0.08228646224661862
E09_CL_BASELINES,ewc,A,4,1.0972416810632495,1.0968393759508446,-0.0004023051124049104
E09_CL_BASELINES,ewc,A,5,1.0961077024270722,1.096083454975266,-2.424745180618082e-05
E09_CL_BASELINES,ewc,A,6,1.0975506159811559,1.0148554158618364,-0.08269520011931952
E09_CL_BASELINES,ewc,A,7,1.0954186645891422,1.0954628985626411,4.423397349895275e-05
E09_CL_BASELINES,ewc,A,8,1.098033873119681,1.0981465828088381,0.00011270968915710888
E09_CL_BASELINES,ewc,A,9,1.09419857385286,1.0940864595384343,-0.00011211431442559316
